Ano de exibição,Título da obra,Público no ano de exibição,Renda (R$) no ano de exibição,Gênero
2019,Maya,3366.0,43523.0,Ficção
2019,Meditation Park,4442.0,76070.0,Ficção
2019,Medo Profundo - O Segundo Ataque,153979.0,2122576.0,Ficção
2019,Memórias Da Dor,9800.0,161383.0,Ficção
2019,Meu Amigo Enzo,198956.0,3052917.0,Ficção
2019,Meu Amigo Fela,2529.0,36449.0,Documentário
2019,Meu Amor Por Grace,244.0,3516.0,Ficção
2019,Meu Anjo,121.0,1262.0,Ficção
2019,Meu Bebê,1663.0,24440.0,Ficção
2019,Meu Malvado Favorito 3,834.0,6502.0,Animação
2019,Meu Mundial,415.0,6388.0,Ficção
2019,Meu Nome É Daniel,1429.0,14589.0,Documentário
2019,Meu Querido Filho,7850.0,103345.0,Ficção
2019,Meu Tricolor De Aço,50.0,649.0,Documentário
2019,Mib: Homens De Preto - Internacional,982092.0,16333360.0,Ficção
2019,Midsommar,66073.0,1138236.0,Ficção
2019,Midway - Batalha Em Alto Mar,136422.0,2273891.0,Ficção
2019,Milagre,1189.0,21474.0,Documentário
2019,Millennium - A Garota Na Teia De Aranha,18.0,180.0,Ficção
2019,Minha Fama De Mau,110857.0,1794357.0,Ficção
2019,Minha Filha,490.0,4078.0,Ficção
2019,Minha Irmã De Paris,1947.0,35107.0,Ficção
2019,Minha Lua De Mel Polonesa,7597.0,121936.0,Ficção
2019,Minha Mãe é uma Peça,2877.0,13130.0,Ficção
2019,Minha Mãe é uma Peça 2,821.0,6544.0,Ficção
2019,Minha Mãe é uma Peça 3,2419335.0,38002653.0,Ficção
2019,Minha Obra-Prima,16888.0,294864.0,Ficção
2019,Minha Vida Em Marte,4309790.0,66396078.0,Ficção
2019,Moana - Um Mar De Aventuras,297.0,2327.0,Animação
2019,Moonlight - Sob A Luz Do Luar,172.0,2156.0,Ficção
2019,Morangos Silvestres,129.0,1230.0,Ficção
2019,Mormaço,2959.0,35123.0,Ficção
2019,Morto Não Fala,26574.0,420760.0,Ficção
2019,Muleque Té Doido! - Mais Doido Ainda,12471.0,170706.0,Ficção
2019,"Mulheres Armadas, Homens Na Lata",357.0,3739.0,Ficção
2019,Mulher-Maravilha,146.0,989.0,Ficção
2019,Mulholland Drive - Cidade dos Sonhos,50.0,920.0,Ficção
2019,Museu,535.0,5887.0,Ficção
2019,"Mussum, Um Filme Do Cacildis",2388.0,22916.0,Documentário
2019,Máquinas Mortais,331309.0,5256817.0,Ficção
2019,Música Para Quando As Luzes Se Apagam,35.0,590.0,Documentário
2019,Nada A Perder 2,6189465.0,59750402.0,Ficção
2019,Nasce Uma Estrela,28396.0,495924.0,Ficção
